,count+mnb,count+svm,count+mlp,tfidf+mnb, tfidf+svm, tfidf+mlp,sum
rxjs ,0,0,0,0,0,0,0
.net ,0,0,0,0,0,0,0
searchable ,0,0,0,0,0,0,0
lisp ,0,0,0,0,0,0,0
open-source ,0,0,0,0,0,0,0
server ,0,0,0,0,0,0,0
css ,0,0,0,0,0,0,0
modeling ,0,0,0,0,0,0,0
compile-time ,0,0,0,0,0,0,0
database ,0,0,0,0,0,0,0
edi ,0,0,0,0,0,0,0
programming-languages ,0,0,0,0,0,0,0
cpu ,0,0,0,0,0,0,0
wordpress ,0,0,0,0,0,0,0
content-management-system ,0,0,0,0,0,0,0
3d ,0,0,0,0,0,0,0
qt ,0,0,0,0,0,0,0
scheduler ,0,0,0,0,0,0,0
ruby ,0,0,0,0,0,0,0
google-api ,0,0,0,0,0,0,0
nstableview ,0,0,0,0,0,0,0
sapui5 ,0,0,0,0,0,0,0
user-interface ,0,0,0,0,0,0,0
java ,0,0,0,0,0,0,0
jquery ,0,0,0,0,0,0,0
access-control ,0,0,0,0,0,0,0
key-value ,0,0,0,0,0,0,0
godaddy ,0,0,0,0,0,0,0
cross-platform ,0,0,0,0,0,0,0
string.h ,0,0,0,0,0,0,0
widget ,0,0,0,0,0,0,0
64bit ,0,0,0,0,0,0,0
ruby ,0,0,0,0,0,0,0
mongodb ,0,0,0,0,0,0,0
qt ,0,0,0,0,0,0,0
clr ,0,0,0,0,0,0,0
oauth-2.0 ,0,0,0,0,0,0,0
redis ,0,0,0,0,0,0,0
deployment ,0,0,0,0,0,0,0
ipv4 ,0,0,0,0,0,0,0
open-source ,0,0,0,0,0,0,0
server ,0,0,0,0,0,0,0
api ,0,0,0,0,0,0,0
admin ,0,0,0,0,0,0,0
web-applications ,0,0,0,0,0,0,0
ms-dos ,0,0,0,0,0,0,0
interface ,0,0,0,0,0,0,0
installer ,0,0,0,0,0,0,0
hierarchical ,0,0,0,0,0,0,0
workflow ,0,0,0,0,0,0,0
arrays ,0,0,0,0,0,0,0
dom4 ,0,0,0,0,0,0,0
memory-leaks ,0,0,0,0,0,0,0
c++11 ,0,0,0,0,0,0,0
audio ,0,0,0,0,0,0,0
synth ,0,0,0,0,0,0,0
default ,0,0,0,0,0,0,0
webos ,0,0,0,0,0,0,0
php ,0,0,0,0,0,0,0
usability ,0,0,0,0,0,0,0
python ,0,0,0,0,0,0,0
database ,0,0,0,0,0,0,0
qt-creator ,0,0,0,0,0,0,0
xquery-3.0 ,0,0,0,0,0,0,0
ruby ,0,0,0,0,0,0,0
api ,0,0,0,0,0,0,0
api ,0,0,0,0,0,0,0
server ,0,0,0,0,0,0,0
javascript ,0,0,0,0,0,0,0
url ,0,0,0,0,0,0,0
facebook ,0,0,0,0,0,0,0
call-graph ,0,0,0,0,0,0,0
uikit ,0,0,0,0,0,0,0
api-design ,0,0,0,0,0,0,0
api ,0,0,0,0,0,0,0
web-applications ,0,0,0,0,0,0,0
implementation ,0,0,0,0,0,0,0
parsing ,0,0,0,0,0,0,0
read-write ,0,0,0,0,0,0,0
gdb ,0,0,0,0,0,0,0
video ,0,0,0,0,0,0,0
apache-spark ,0,0,0,0,0,0,0
node.js ,0,0,0,0,0,0,0
gnu ,0,0,0,0,0,0,0
read-write ,0,0,0,0,0,0,0
http ,0,0,0,0,0,0,0
grid ,0,0,0,0,0,0,0
cloudera ,0,0,0,0,0,0,0
ruby ,0,0,0,0,0,0,0
markov ,0,0,0,0,0,0,0
open-source ,0,0,0,0,0,0,0
jpa-2.0 ,0,0,0,0,0,0,0
data-access ,0,0,0,0,0,0,0
cas ,0,0,0,0,0,0,0
bitmap ,0,0,0,0,0,0,0
authentication ,0,0,0,0,0,0,0
.net ,0,0,0,0,0,0,0
client-side ,0,0,0,0,0,0,0
worklight ,0,0,0,0,0,0,0
jmf ,0,0,0,0,0,0,0
name-collision ,0,0,0,0,0,0,0
apache ,0,0,0,0,0,0,0
relational-database ,0,0,0,0,0,0,0
python ,0,0,0,0,0,0,0
qt ,0,0,0,0,0,0,0
c++ ,0,0,0,0,0,0,0
gnu ,0,0,0,0,0,0,0
css ,0,0,0,0,0,0,0
web-applications ,0,0,0,0,0,0,0
visual-c++ ,0,0,0,0,0,0,0
perl ,0,0,0,0,0,0,0
jquery ,0,0,0,0,0,0,0
pdf ,0,0,0,0,0,0,0
subset ,0,0,0,0,0,0,0
database ,0,0,0,0,0,0,0
open-source ,0,0,0,0,0,0,0
deprecated ,0,0,0,0,0,0,0
javascript-framework ,0,0,0,0,0,0,0
content-management-system ,0,0,0,0,0,0,0
jvm ,0,0,0,0,0,0,0
graphics ,0,0,0,0,0,0,0
protocols ,0,0,0,0,0,0,0
csv ,0,0,0,0,0,0,0
visual-studio ,0,0,0,0,0,0,0
subset ,0,0,0,0,0,0,0
java-me ,0,0,0,0,0,0,0
dsl ,0,0,0,0,0,0,0
clone ,0,0,0,0,0,0,0
openssl ,0,0,0,0,0,0,0
website ,0,0,0,0,0,0,0
haxe ,0,0,0,0,0,0,0
malware ,0,0,0,0,0,0,0
user ,0,0,0,0,0,0,0
sql ,0,0,0,0,0,0,0
asynchronous ,0,0,0,0,0,0,0
c++ ,0,0,0,0,0,0,0
python ,0,0,0,0,0,0,0
operating-system ,0,0,0,0,0,0,0
malware ,0,0,0,0,0,0,0
asp.net ,0,0,0,0,0,0,0
javascript ,0,0,0,0,0,0,0
build-automation ,0,0,0,0,0,0,0
linux ,0,0,0,0,0,0,0
base-class ,0,0,0,0,0,0,0
visual-studio ,0,0,0,0,0,0,0
nsnotificationcenter ,0,0,0,0,0,0,0
cryptography ,0,0,0,0,0,0,0
value-type ,0,0,0,0,0,0,0
apache ,0,0,0,0,0,0,0
recursion ,0,0,0,0,0,0,0
json-api ,0,0,0,0,0,0,0
user ,0,0,0,0,0,0,0
c++ ,0,0,0,0,0,0,0
chi-squared ,0,0,0,0,0,0,0
connectivity ,0,0,0,0,0,0,0
api ,0,0,0,0,0,0,0
ecore ,0,0,0,0,0,0,0
perl ,0,0,0,0,0,0,0
metrics ,0,0,0,0,0,0,0
google-apps ,0,0,0,0,0,0,0
internationalization ,0,0,0,0,0,0,0
mysql ,0,0,0,0,0,0,0
pharo ,0,0,0,0,0,0,0
continuous-integration ,0,0,0,0,0,0,0
http-proxy ,0,0,0,0,0,0,0
jquery ,0,0,0,0,0,0,0
api ,0,0,0,0,0,0,0
https ,0,0,0,0,0,0,0
dynamic-typing ,0,0,0,0,0,0,0
eclipse ,0,0,0,0,0,0,0
msxml ,0,0,0,0,0,0,0
website ,0,0,0,0,0,0,0
javascript ,0,0,0,0,0,0,0
powershell ,0,0,0,0,0,0,0
copyright ,0,0,0,0,0,0,0
ios ,0,0,0,0,0,0,0
windows-live ,0,0,0,0,0,0,0
implementation ,0,0,0,0,0,0,0
httpclient ,0,0,0,0,0,0,0
android ,0,0,0,0,0,0,0
micro-orm ,0,0,0,0,0,0,0
web-api ,0,0,0,0,0,0,0
